grade,item_id,difficulty,free_est
11,M11GRT2.5_L03,-1.14,-0.6486999999999998
11,M11ALG1.1AH10,-0.23,-0.8375
11,M11FUN1.2_H11,1.04,0.5774
3,M03NBT1.2_H11,0.72,0.23229999999999995
4,M04GEO1.2_L03,-2.55,-1.9046999999999998
4,M04GEO1.2_M08,-0.21,-0.675
4,M04OAT1.2_M06,0.95,0.2975
5,M05NBT1.1_L03,-0.03,0.5488999999999999
5,M05NBT2.5_M08,1.69,0.9987999999999999
6,M06GEO1.1_M05,1.24,1.788
6,M06TNS2.4_L02,2.28,1.8750999999999998
7,M07RPR1.1_L04,-1.78,-1.0444
7,M07GEO1.1_L01,0.54,-0.4909999999999999
7,M07TNS1.2DH09,0.94,0.026799999999999935
7,M07GEO1.1_M05,1.07,2.8596000000000004
8,M08EXE2.6_L01,0.63,1.3154
8,M08TNS1.1_H12,1.09,0.5175000000000001
8,M08EXE1.1_H12,2.92,2.2485
